Unnamed: 0,ast,height,left,ppg,right,trb,weight
0,1.7217391304347829,74.32298136645963,1.0,9.33913043478261,22.0,3.7913043478260864,188.65625
1,1.925,74.5701754385965,1.0,8.993750000000002,31.0,3.671875,187.3628318584071
2,1.9444444444444449,75.19774011299435,3.0,8.674603174603172,60.0,3.974603174603175,191.53672316384186
3,2.0211382113821137,75.32444444444444,5.0,8.518699186991869,118.0,4.040650406504063,191.4932735426009
4,1.930065359477123,75.84313725490195,6.0,8.183660130718952,147.0,3.984313725490196,194.54901960784318
5,2.0092307692307685,75.98461538461537,6.0,8.163076923076925,124.0,4.295384615384614,195.25384615384613
6,2.008461538461539,75.73076923076924,5.0,8.071538461538463,125.0,4.2892307692307705,194.4769230769231
7,1.9582608695652173,76.30434782608695,2.0,8.189565217391307,113.0,4.500869565217392,196.71929824561403
8,2.0375,76.40178571428571,2.0,8.560714285714285,110.0,4.698214285714284,196.7142857142857
9,2.1040404040404046,76.9090909090909,2.0,9.457575757575757,97.0,5.249494949494951,200.010101010101
10,2.1000000000000005,77.01851851851852,4.0,9.384259259259258,104.0,5.339814814814815,200.3055555555556
11,2.1066666666666665,76.98095238095237,2.0,9.497142857142851,103.0,5.416190476190474,200.29523809523806
12,2.1936170212765957,77.04255319148936,3.0,10.340425531914892,91.0,5.5638297872340425,201.1382978723404
13,2.215151515151516,77.04040404040404,5.0,10.412121212121207,94.0,5.7212121212121225,201.7878787878788
14,2.356701030927835,77.36082474226805,8.0,11.077319587628862,89.0,5.8185567010309285,203.47422680412367
15,2.1049586776859504,77.27272727272727,8.0,9.905785123966943,113.0,5.238842975206612,203.55371900826447
16,2.1479338842975206,77.4710743801653,7.0,10.439669421487602,114.0,5.512396694214875,204.84297520661158
17,2.206779661016949,77.4322033898305,8.0,11.058474576271193,110.0,5.846610169491526,205.01694915254242
18,2.2508064516129034,77.44354838709677,10.0,11.160483870967749,114.0,5.8056451612903235,205.5241935483871
19,2.35,77.41538461538461,13.0,11.66076923076924,117.0,5.914615384615384,205.3923076923077
20,2.312162162162162,77.5,16.0,11.367567567567573,132.0,5.524324324324322,204.445945945946
21,1.8066666666666669,77.43174603174603,22.0,9.564444444444446,293.0,4.735555555555552,204.0382165605096
22,1.949535603715172,77.47058823529412,24.0,10.036842105263158,299.0,4.966253869969039,203.91331269349843
23,2.0788519637462244,77.48640483383686,24.0,10.303625377643506,307.0,4.905438066465254,203.7190332326284
24,1.9997222222222242,77.64722222222224,27.0,9.819166666666662,333.0,4.693333333333333,203.625
25,2.1252747252747257,77.69230769230771,28.0,10.273076923076925,336.0,4.787362637362637,203.78571428571428
26,2.2280000000000006,77.68285714285716,27.0,10.503714285714283,323.0,4.823428571428573,203.44
27,2.269740634005764,77.72910662824208,30.0,10.443804034582133,317.0,4.745533141210375,203.02593659942363
28,2.201101928374656,77.84297520661157,28.0,10.103581267217633,335.0,4.6,202.30578512396698
29,2.1643874643874628,78.01424501424502,31.0,9.953846153846152,320.0,4.4521367521367505,202.95441595441602
30,2.325083612040132,78.04347826086956,30.0,10.410367892976579,269.0,4.542474916387959,202.91304347826087
31,2.383333333333332,78.11904761904762,28.0,10.341156462585024,266.0,4.432653061224487,203.02380952380955
32,2.401023890784981,78.14675767918091,25.0,10.326962457337876,268.0,4.338225255972693,202.85665529010242
33,2.385618729096989,78.31772575250838,22.0,10.21538461538461,277.0,4.2906354515050165,203.4581939799331
34,2.31783439490446,78.43949044585987,20.0,9.828343949044584,294.0,4.1503184713375765,203.85668789808918
35,2.2993827160493834,78.56481481481481,18.0,9.899691358024686,306.0,4.136419753086416,204.40432098765442
36,2.269207317073171,78.71341463414635,17.0,9.758841463414633,311.0,4.062499999999998,205.69512195121948
37,2.257716049382716,78.85185185185185,14.0,9.758641975308642,310.0,4.008950617283949,206.50617283950612
38,2.255820895522388,78.86865671641792,14.0,9.663880597014924,321.0,3.985074626865672,207.07462686567158
39,2.2002840909090904,79.04261363636364,13.0,9.515340909090902,339.0,3.94375,208.0
40,2.1893258426966287,79.01685393258427,14.0,9.377528089887637,342.0,3.9485955056179796,208.1348314606741
41,2.201944444444445,79.03888888888889,18.0,9.309444444444438,342.0,3.913611111111112,208.6611111111111
42,2.2136482939632547,78.91601049868767,17.0,9.13070866141732,364.0,3.783989501312336,208.21259842519692
43,2.16936274509804,78.73774509803921,27.0,8.953676470588235,381.0,3.6850490196078396,208.1102941176471
44,2.083610451306414,78.89786223277909,22.0,8.903562945368174,399.0,3.7175771971496414,208.94061757719714
45,2.0721962616822442,78.78738317757009,27.0,8.670327102803741,401.0,3.6672897196261682,209.31542056074767
46,2.0111617312072907,78.83143507972666,32.0,8.648747152619588,407.0,3.710250569476082,211.1958997722096
47,1.9988888888888896,78.90444444444445,38.0,8.542222222222222,412.0,3.69488888888889,212.34666666666664
48,2.026280623608018,78.78841870824053,42.0,8.548329621380846,407.0,3.7089086859688183,211.7126948775056
49,1.9461206896551728,78.8728448275862,42.0,8.443318965517243,422.0,3.674784482758621,214.1379310344828
50,1.9258403361344536,78.91386554621847,49.0,8.478991596638656,427.0,3.7373949579831915,215.1302521008403
51,1.95543710021322,78.84434968017058,47.0,8.463113006396584,422.0,3.7347547974413646,215.0597014925373
52,1.9592827004219409,78.87130801687762,44.0,8.662869198312231,430.0,3.807805907172997,215.86075949367088
53,2.0114470842332617,78.90064794816416,43.0,8.77537796976242,420.0,3.882073434125272,216.49244060475158
54,1.9686147186147185,78.93939393939394,46.0,8.680303030303023,416.0,3.8177489177489217,217.84415584415584
55,1.930065359477124,79.07407407407408,47.0,8.56296296296296,412.0,3.7812636165577382,219.44662309368192
56,1.8779697624190068,79.21598272138229,50.0,8.393520518358532,413.0,3.752051835853136,220.6198704103672
57,1.8753779697624189,79.20086393088553,48.0,8.464794816414686,415.0,3.7619870410367215,220.805615550756
58,1.8308823529411764,79.17647058823529,49.0,8.351470588235296,427.0,3.7281512605042058,221.0672268907563
59,1.835940803382664,79.08245243128964,40.0,8.329809725158563,433.0,3.6816067653277003,221.05919661733608
60,1.8143153526970943,79.00622406639005,37.0,8.329668049792527,445.0,3.645020746887971,220.93983402489627
61,1.834591194968552,78.9916142557652,36.0,8.525366876310269,441.0,3.706079664570236,220.23899371069183
62,1.8135021097046404,79.13924050632913,32.0,8.615822784810126,442.0,3.755907172995786,221.6139240506329
63,1.895708154506437,79.07296137339056,31.0,8.964163090128755,435.0,3.8199570815450685,221.9785407725322
64,1.9027139874739043,79.17118997912317,35.0,9.012943632567849,444.0,3.9146137787056414,223.4572025052192
65,1.9073267326732668,79.04554455445545,39.0,8.892475247524748,465.0,3.8584158415841614,222.42574257425738
66,1.9090180360721432,79.08416833667334,40.0,9.005010020040078,458.0,3.8731462925851727,222.7174348697395
67,1.8908910891089088,79.04950495049505,39.0,8.878415841584157,465.0,3.803960396039605,221.82574257425742
68,1.8886497064579235,79.00391389432485,43.0,8.905088062622303,467.0,3.792172211350293,221.05675146771043
69,1.912871287128711,79.02772277227723,47.0,9.001386138613857,457.0,3.833069306930694,220.79801980198016
70,1.8821011673151733,79.01556420233463,43.0,8.692996108949412,470.0,3.695330739299613,219.3599221789883
